INLINE ClassSkillTable,Skill
0x00 Separator/Nothing,0x0
0x01 Ephraim Lord,SupplyID
0x02 Eirika Lord,SupplyID
0x03 Ephraim Great Lord,CantoID
0x04 Eirika Great Lord,CantoID
0x05 Cavalier,CantoID
0x06 Cavalier (F),CantoID
0x07 Paladin,CantoID
0x08 Paladin (F),CantoID
0x09 Armour Knight,ShoveID
0x0A Armour Knight (F),ShoveID
0x0B General,ShoveID
0x0C General (F),ShoveID
0x0D Thief,ShoveID
0x0E Manakete,ShoveID
0x0F Mercenary,ShoveID
0x10 Mercenary (F),ShoveID
0x11 Hero,ShoveID
0x12 Hero (F),ShoveID
0x13 Myrmidon,ShoveID
0x14 Myrmidon (F),ShoveID
0x15 Swordmaster,ShoveID
0x16 Swordmaster (F),ShoveID
0x17 Assassin,ShoveID
0x18 Assassin (F),ShoveID
0x19 Archer,ShoveID
0x1A Archer (F),ShoveID
0x1B Sniper,ShoveID
0x1C Sniper (F),ShoveID
0x1D Ranger,CantoID
0x1E Ranger (F),CantoID
0x1F Wyvern Rider,CantoID
0x20 Wyvern Rider (F),CantoID
0x21 Wyvern Lord,CantoID
0x22 Wyvern Lord (F),CantoID
0x23 Wyvern Knight,CantoID
0x24 Wyvern Knight (F),CantoID
0x25 Mage,ShoveID
0x26 Mage (F),ShoveID
0x27 Sage,CantoID
0x28 Sage (F),CantoID
0x29 Mage Knight,CantoID
0x2A Mage Knight (F),CantoID
0x2B Bishop,ShoveID
0x2C Bishop (F),ShoveID
0x2D Shaman,ShoveID
0x2E Shaman (F),ShoveID
0x2F Druid,ShoveID
0x30 Druid (F),ShoveID
0x31 Summoner,ShoveID
0x32 Summoner (F),ShoveID
0x33 Rogue,ShoveID
0x34 Gorgon Egg,ShoveID
0x35 Great Knight,CantoID
0x36 Great Knight (F),CantoID
0x37 Recruit (2),ShoveID
0x38 Journeyman (3),ShoveID
0x39 Pupil (3),ShoveID
0x3A Recruit (3),ShoveID
0x3B Manakete,ShoveID
0x3C Manakete (F),ShoveID
0x3D Journeyman (1),ShoveID
0x3E Pupil (1),ShoveID
0x3F Fighter,ShoveID
0x40 Warrior,ShoveID
0x41 Brigand,ShoveID
0x42 Pirate,ShoveID
0x43 Berserker,ShoveID
0x44 Monk,ShoveID
0x45 Priest,ShoveID
0x46 Bard,ShoveID
0x47 Recruit (1),ShoveID
0x48 Pegasus Knight,CantoID
0x49 Falcon Knight,CantoID
0x4A Cleric,ShoveID
0x4B Troubadour,CantoID
0x4C Valkyrie,CantoID
0x4D Dancer,DanceID
0x4E Soldier,ShoveID
0x4F Necromancer,SummonID
0x50 Fleet,ShoveID
0x51 Phantom,ShoveID
0x52 Revenant,ShoveID
